Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Dr. Shaitan,1960,,6.4,0,unknown,hindi
Nadir Khan,1968,,6.4,0,unknown,urdu
Apna Sapna Money Money,2006,134 min,5.3,1892,"comedy, musical, romance",hindi
Aag Aur Sholay,1987,,2.2,20,unknown,urdu
Parivar,1956,,7.4,21,"comedy, drama, family",hindi
Humraah: The Traitor,2008,,6.4,0,thriller,hindi
Jacqueline I Am Coming,2019,112 min,7.9,16,drama,hindi
A Mighty Heart,2007,108 min,6.6,26885,"biography, drama, history",urdu
Midnight Mail,1939,,6.4,0,action,hindi
Raktalekha,1992,175 min,6.3,12,drama,bengali
Veedevadandi Babu,1997,138 min,5.6,218,comedy,telugu
Da Tang Xuan Zang,2016,90 min,6.2,379,"biography, history",sanskrit
Sikandar,1976,,6.4,0,unknown,hindi
Pehla Qadam,1958,,6.4,0,unknown,urdu
Amman Koil Kizhakkaalae,1986,141 min,6.9,63,drama,tamil
Shatru,2013,,4.5,11,"action, thriller",kannada
Zinda Jala Doonga,1988,,6.4,0,action,hindi
Tukaram,2012,156 min,7.3,231,"biography, drama, history",marathi
Ramante Edenthottam,2017,122 min,6.0,459,"comedy, drama, romance",malayalam
Faslah,1974,,6.4,0,"crime, drama, romance",hindi
Jawani Ki Ghabrahat,1991,,6.4,0,thriller,hindi
Anbu Chinnam,1990,,6.4,0,unknown,tamil
Naveed,2020,57 min,6.4,0,documentary,urdu
Ramudu Bheemudu,1988,141 min,6.4,0,drama,telugu
Vaade Kavali,2009,,6.4,0,romance,telugu
Aakhri Muqabla,1978,,6.4,0,action,hindi
Dracula,1999,92 min,4.1,16,horror,hindi
Jahanara,1935,,6.4,0,unknown,hindi
Geet,1970,,7.1,98,"action, crime, musical",hindi
Sej Piya Ki,1985,,6.4,0,drama,hindi
Sati Sita Luv Kush,1981,,6.4,0,drama,hindi
Nuvvu Vasthavani,2000,158 min,6.6,160,"family, romance",telugu
Madadgaar,1987,,5.4,11,"action, crime, drama",hindi
Hamra Se Biyah Karba,2003,,6.4,0,drama,bhojpuri
Milan Ki Raat,1967,,4.4,7,"drama, romance",hindi
Bhool Bhulaiyan,1933,,6.0,6,comedy,hindi
Saajan Chale Sasural,1996,134 min,6.0,1312,"comedy, drama",hindi
Khaleja,2010,170 min,7.6,8284,"action, comedy, fantasy",telugu
Bhale Bullodu,1995,,6.4,0,drama,telugu
Jaal,1973,,6.4,0,musical,urdu
Yuvakudu,2000,145 min,6.9,110,romance,telugu
Goolihatti,2015,156 min,6.4,0,drama,kannada
Hamara Ghar,1950,,6.4,0,unknown,hindi
Olessia,2019,120 min,8.1,40,"drama, musical",malayalam
Prohibited,2015,12 min,8.2,25,"short, drama, thriller",urdu
Spy in Goa,1966,,6.4,0,"action, thriller",hindi
Time to Dance,2021,113 min,1.3,406,"musical, romance",hindi
Gopi Kishan,1994,161 min,5.5,805,"action, comedy, drama",hindi
Nigahen: Nagina Part II,1989,140 min,5.2,286,"drama, family, fantasy",hindi
Dobara Phir Se,2016,127 min,6.6,427,drama,urdu
Pagaivan,1997,142 min,5.2,82,"action, comedy",tamil
Red Alert: The War Within,2009,120 min,6.4,337,"action, drama, thriller",hindi
Adhikar,1938,132 min,6.4,0,unknown,hindi
Hasta Melapa,1969,,6.4,0,drama,gujarati
Gangavatarana,1984,,6.4,0,unknown,telugu
Amnol Sahara,1952,,6.4,0,drama,hindi
Waqt Ka Shahenshah,1987,,4.9,11,action,hindi
Coffee Bloom,2015,90 min,5.9,101,drama,hindi
Vidiyum Munn,2013,129 min,7.4,434,thriller,tamil
Olappeeppi,2016,121 min,7.6,120,drama,malayalam
Duniya Ke Rangeen Raatein,1997,,6.4,0,drama,hindi
Timi Sanga,2018,,6.1,11,romance,nepali
Oho Naa Pellanta,1996,,6.2,19,comedy,telugu
Ivanu Thumba Orata,2009,,6.4,0,drama,kannada
Apnapan,1977,133 min,6.5,73,"drama, romance",hindi
Saath Laakh,1957,125 min,6.4,0,"musical, romance",urdu
Insaan,1966,,6.4,0,unknown,urdu
Takrav,2018,,6.4,0,"action, romance",bhojpuri
Pratipaksha,1988,108 min,6.9,8,"action, drama",bengali
Har Raat Naya Khiladi,1990,,6.4,0,thriller,hindi
Naanaage Naanillai,2016,,6.4,0,drama,tamil
Atma Tarang,1937,,6.4,0,unknown,hindi
Dehorokkhi: The Bodyguard,2013,167 min,6.8,402,action,bengali
Beru,2005,104 min,8.3,19,drama,kannada
Paigham,1988,168 min,6.4,0,fantasy,hindi
The Rubiks game,2014,30 min,6.4,0,"short, thriller",malayalam
Anthervedam,2018,,6.4,0,thriller,telugu
Enakkul Oru Kadhal,2009,97 min,6.4,0,drama,tamil
Samsara Nauka,1989,,6.4,0,unknown,kannada
Patthe Bapurao,1950,143 min,6.4,0,unknown,marathi
Vida Parayaanmathram,1988,,6.4,0,unknown,malayalam
Sayahnam,2000,,7.0,10,unknown,malayalam
Preetam,2021,,9.0,15,romance,marathi
Britto,2014,124 min,7.5,12,drama,bengali
Amrutha Geetham,1982,,6.4,0,unknown,malayalam
Pyar Ka Jigar,2003,,6.4,0,romance,hindi
Stalin Sivadas,1999,118 min,2.7,47,"action, thriller",malayalam
Dheeran,1987,,6.4,0,unknown,malayalam
