Sl. No.,State/UT,2016-17,2017-18,2018-19,2019-20,2020-21
1,Karnataka,141846,152280.16,169699.08,194473.28,204648.96
2,Maharashtra,69010,74580.15,85595.37,91513.9,99732.48
3,Telangana,46429,50795.82,57527.45,64525.9,71574.19
4,Tamil Nadu,34563,36848.7,40457.08,50327.33,47936.28
5,Haryana,20874,22182.85,24220.32,26140.64,25017.8
6,Uttar Pradesh,17237,18508.46,20098.88,22118.66,22671.25
7,West Bengal,7152,6683,7150,7180.13,7385.19
8,Kerala,3534.5,3296.56,3901.88,3620.47,3816
9,Gujarat,2363.5,2681.14,3101.06,3570.8,3982.53
10,Odisha,2493.4,2503.88,2510.4,2496.34,2395.65
11,Delhi,1483.6,1662.82,2363.45,1861.34,1892.93
12,Rajasthan,997.32,989.22,1255.85,1211.87,1305.69
13,Andhra Pradesh,526.69,702.29,786.95,846.77,883.02
14,Chandigarh,758.82,668.27,730.64,573.49,728.74
15,Madhya Pradesh,516.18,613.82,588.76,756.72,871.45
16,Punjab,369.93,420.54,490.81,558.83,748.86
17,Puducherry,239.21,253.01,252.7,90.29,294.73
18,Uttarakhand,89.88,130.42,150.1,137.85,165.44
19,Goa,85.13,82.79,79.66,137.55,139.1
20,Chhattisgarh,36.79,36.75,63.03,86.77,22.65
21,Assam,10.5,21.09,22.31,22.27,19.51
22,Sikkim,38.29,19.2,20.06,19.43,18.19
23,Meghalaya,7.7,8.62,14.74,14.98,23.25
24,Himachal Pradesh,6.97,7.58,11.57,5.13,3.66
25,Jharkhand,2,6.64,5.82,14.25,29.5
26,Jammu and Kashmir,3.58,3.92,5.3,6.24,6.82
27,Bihar,4.65,0.03,0.03,0,0
